episode_number,episode_title,episode_duration,episode_synopsis,original_airdate,american_airdate,url,season_id,series_id
1,A Peacetime Reward: Who Gets the 100000000 Zeni?!,30,After Goku defeated the dangerous Majin Buu peace has returned to Earth. Chi-Chi wants Goku to get a job so he works as a farmer. Goten and his friend Trunks search for a gift for his sister-in-law Videl who is married to his older brother Gohan. The two consider jewelry and makeup but they are unable to afford anything. Goten and Trunks head for the hot springs in the woods to bottle up some mineral water instead. While there they are attacked by a giant snake which they manage to scare away. For his purported role in saving Earth from Majin Buu Mr. Satan has been awarded with 100 million Zeni that he does not want. He decides to give the money to one of the fighters. Goku gives the money to Chi-Chi so she would let him train. Meanwhile somewhere in the depths of space Beerus the God of Destruction has awakened from his slumber. Keen on battling the worthy opponent that appeared to him in his visions Beerus and his attendant Whis set out to discover who this opponent is.,7/5/2015,1/7/2017,https://drive.google.com/file/d/1HISwXC3VR52P11HV9xWpbFV_046EWmXS/preview,1,5
2,To the Promised Resort! Vegeta Takes a Family Trip!,30,Goku goes to King Kais planet to train with King Kai. Meanwhile Vegeta Bulma and Trunks take a family trip to a resort. Bulma and Trunks are enjoying the family time together while Vegeta is bothered by the fact that Goku gets to train. Fed up with what he considers a waste of time Vegeta flies away and heads back to Capsule Corporation to train. Somewhere in space Beerus and Whis scour an alien planet in search of dinosaur meat. They are confronted by the planets strongest dweller but he proves to be no match for them. Shortly afterwards Beerus destroys the planet in order to have another vision of his destined opponent €“ the Super Saiyan God. ,7/12/2015,1/14/2017,https://drive.google.com/file/d/18awt3ZakOCwdCXsGBDWse372TW7cs3o2/preview,1,5
3,Where Does the Dream Pick Up? Find the Super Saiyan God!,30,Fearing what might happen knowing that the God of Destruction is awake the Old Supreme Kai and Supreme Kai urge King Kai to ensure that Goku never finds out about Beerus. However Goku overhears the conversation and becomes curious. Back in his temple Beerus and Whis continue their search for the Super Saiyan God. They soon learn of Goku and his feats. Beerus and Whis decide to pay him and King Kai a visit. Meanwhile back on Earth Gokus friends and family members begin gathering on the cruise ship for Bulmas birthday party except for Vegeta who is still training to overpower Goku and everyone else in the universe. ,7/19/2015,1/21/2017,https://drive.google.com/file/d/1rItxx3Tj7XrCVnyK7d8tjSzarKvSHHLw/preview,1,5
4,Bid for the Dragon Balls! Pilaf and Crews Impossible Mission!,30,With all guests now gathered except for Goku and Vegeta Bulmas birthday party gets underway. Trunks shows Goten where his mother hid the bingo tournament grand prize €“ the Dragon Balls. Not far off from the ship the Pilaf Gang are now poor and hungry. They are trying to get by until they find the Dragon Balls and make their wishes come true. When his Dragon Radar picks up a signal coming from Bulmas ship Pilaf and his henchmen hastily board the ship with Trunks and Gotens help. Meanwhile on his planet King Kai explains to Goku who and what Beerus exactly is and that for every benevolent God there must be a malevolent one in order to keep the universe in balance. Just as he finishes Beerus and Whis arrive. ,8/2/2015,1/28/2017,https://drive.google.com/file/d/1whL0aZ6lC7CyNc4TAQEu9TrQxwvxHZz3/preview,1,5
5,Showdown on King Kais World! Goku vs. Beerus the Destroyer!,30,Beerus and Whis arrive on King Kais planet and detect Gokus presence. While he is initially disappointed that Goku does not know what a Super Saiyan God is he agrees to test his strength in a sparring match. Goku attempts to fight him in all of the Super Saiyan transformations but Beerus effortlessly defeats him in two strikes. Beerus and Whis head for Earth shortly afterwards while King Kai uses his telepathy to warn Vegeta ahead of their arrival. ,8/9/2015,2/4/2017,https://drive.google.com/file/d/1z5IXBzdf3BhZ8A9P1mkLsB1tCJcFLQ9m/preview,1,5
6,Dont Anger the Destroyer! A Heart-Pounding Birthday Party!,30,Beerus and Whis arrive on Earth where Bulmas birthday party is underway. Initially Vegeta is paralyzed by Beerus presence. He recalls a childhood encounter with the deity a long time ago when Beerus visited Planet Vegeta and threatened his father King Vegeta. Shortly afterwards Bulma pops up. She invites Beerus and Whis to join the party. The two gladly accept her offer and quickly become enamored with the Earths cuisine. They start mingling with the other guests while Vegeta tries his best to ensure that Beerus remains calm. Whis soon learns of pudding which he finds to be extraordinarily delicious. Whis urges Beerus to have some too. It turns out that Majin Buu had taken the remaining pudding cups for himself and refuses to share. Angered by Majin Buus insolence Beerus attacks him. ,8/16/2015,2/11/2017,https://drive.google.com/file/d/15nVxeCClKh8OHcv8U9kEgQDjzszKFv8F/preview,1,5
7,How Dare You Do That To My Bulma! Vegetas Metamorphosis of Fury?,30,Beerus effortlessly disposes of Majin Buu while Vegeta stands by in awe. Vegeta tries to persuade Beerus to calm down and enjoy himself but he refuses to listen. Trunks and Goten fuse into Gotenks and attack to no avail. Powerless to do anything else Gotenks starts insulting Beerus for which he is promptly punished. Piccolo Tien Shinhan and Android 18 try taking on Beerus with little success. Majin Buu attacks again but he is unable to land a single hit. While observing the battle Dende realizes what Beerus actually is and immediately informs Piccolo. Before Piccolo is able to warn him Gohan powers up and charges towards Beerus. Using Majin Buu as a weapon Beerus repels Gohan and takes them both out. Being the last one standing Vegeta confronts Beerus but he is swiftly brought to the ground. Beerus tells Vegeta that he is disappointed with him since he is just as weak as his father was. Just as Beerus is about to finish Vegeta Bulma walks up and slaps him for ruining her party. Beerus retaliates in similar fashion. Seeing Bulma struck infuriates Vegeta. He explodes and powers up immensely. ,8/23/2015,2/18/2017,https://drive.google.com/file/d/1wf_RHGbUqqYKS06B_FA6kzhzqDxHGaeA/preview,1,5
8,Goku Makes an Entrance! A Last Chance from Lord Beerus?,30,Having powered up Vegeta charges towards Beerus. He manages to land a few punches before Beerus who was using only a fraction of his power knocks him out. Just as he is about to destroy Earth Beerus has a sudden idea. He decides to give the Earthlings another chance at saving Earth. Meanwhile fearing for their lives the Pilaf Gang disembark Bulmas ship on a rowboat and sail away. Thinking he is the same as Majin Buu because of his pink hue Beerus picks Oolong out of the crowd and challenges him to a game of rock€“paper€“scissors to decide the fate of the Earth. Oolong manages to draw twice but Beerus eventually wins and proceeds to power up his attack. Just as Beerus is about to fire Goku chimes in and says he has thought of a way to find out about the Super Saiyan God. He will summon and ask Shenron about it. ,8/30/2015,2/25/2017,https://drive.google.com/file/d/1yRamtzU_CVdk-f_5MllWlRfzGiTPMAyj/preview,1,5
9,Thanks for Waiting Lord Beerus! A Super Saiyan God is Born At Last!,30,Goku gathers the Dragon Balls together and summons Shenron who is startled by Beerus presence. Shenron quickly explains that the Super Saiyan God is not a person but it is a legendary transformation that only kindhearted Saiyans can achieve by fusing their power together. The Saiyans attempt to transform Goku but they fail as they are one Saiyan short. Growing tired of waiting Beerus starts preparing his attack to destroy the planet. Suddenly Videl jumps in front of the Saiyans. She says that there is one more Saiyan who might be able to help them who happens to be her and Gohans unborn child. The Saiyans and Videl attempt the transformation again and manage to transform Goku into the Super Saiyan God. ,9/6/2015,3/4/2017,https://drive.google.com/file/d/1neVUONLlq1XF_esJttX6HurBIp1-9R6a/preview,1,5
10,Show Us Goku! The Power of a Super Saiyan God!,30,Goku is now a Super Saiyan God. He confronts Beerus. Goku is amazed by the immense power his body has gained with the transformation. He is initially unable to fully grasp its newfound potential. Fighting with Beerus Goku manages to grow gradually into his new form. Seeing as how Goku might turn out to be a worthy adversary after all Beerus decides it is time for them to unleash their true power and have a real battle of Gods. ,9/13/2015,3/11/2017,https://drive.google.com/file/d/129GQZhk6NpMy_UVAV2lGL3A67u3nY76s/preview,1,5
